NO.,NAMA VIHARA,MANDARIN,GPS,,,ALAMAT,ref_code
,SINNAM,Shi Wang Qian Sui Tan (Xin Nan),E 108º,59' 25,"84""",RT 14/03 Kelurahan Sijangkung,
78,VIHARA AMBAWANA ARAMA,芒林寺(新喃),N 00º,51' 39,"08""","Jl. Raya Sagatani Gg. Tower, Sinnam",
,SINNAM,Mang Lin Si (Xin Nan),E 108º,59' 44,"85""",RT 13/03 Kelurahan Sijangkung,
79,CETIYA LIUNG SAN THAN,龍山壇(新喃),N 00º,51' 53,"83""","Jl. Raya Sagatani Gg. Tower, Sinnam",
,SINNAM,Long Shan Tan (Xin Nan),E 108º,59' 42,"07""",RT 13/03 Kelurahan Sijangkung,
80,VIHARA MAITREYA KARUNA,光浩堂(新喃),N 00º,52' 23,"82""","Jl. Sagatani Gare, Sinnam",
,SINNAM,Guang Hao Tang (Xin Nan),E 108º,59' 29,"76""",RT 12/03 Kelurahan Sijangkung,
81,VIHARA DHARMA BUDDHA CIKUNG,濟公活佛堂(新喃),N 00º,52' 22,"24""","Jl. Sagatani Gare, Sinnam",8
,SINNAM,Ji Gong Fa Fo Tang (Xin Nan),E 108º,59' 26,"26""",RT 08/02 Kelurahan Sijangkung,
82,VIHARA FA CHIN KIUNG,華清宮(新喃),N 00º,52' 07,"63""",Jl. Raya Sagatani Gg. Padi,
,SINNAM,Hua Qing Gong (Xin Nan),E 108º,59' 47,"89""",RT 14/03 Kelurahan Sijangkung,
83,VIHARA VIMALA CHANDA ARAMA,凈愿寺(新喃),N 00º,52' 41,"69""","Jl. Sagatani Gg. Anugerah No.1, Sinnam",43
,SINNAM,Jing Yuan Si (Xin Nan),E 108º,59' 27,"40""",RT 08/02 Kelurahan Sijangkung,
84,VIHARA TRIDHARMA BUMI RAYA,大伯公廟(新喃),N 00º,52' 35,"37""","Jl. Sagatani Gare, Sinnam",
,SINNAM,Da Bo Gong Miao (Xin Nan),E 108º,59' 27,"55""",RT 08/02 Kelurahan Sijangkung,
85,VIHARA SAM BONG MIAU / BONG JA,三王廟/王爺(新喃),N 00º,52' 39,"31""","Jl. Sagatani Gare, Sinnam",44
,SINNAM,San Wang Miao / Wang Ye (Xin Nan),E 108º,59' 31,"92""",RT 11/03 Kelurahan Sijangkung,
86,CETIYA KIM KONG MIAU / SI THAI KIM KONG,金剛廟/四大金剛(新喃),N 00º,52' 42,"34""","Jl. Sagatani Gare, Sinnam",
,SINNAM,Jin Gang Miao / Si Da Jin Gang (Xin Nan),E 108º,59' 26,"54""",RT 08/02 Kelurahan Sijangkung,
87,CETIYA FUT MU KIUNG,佛母宮(文輝路),N 00º,52' 56,"01""",Jl. Bunfui,28
,JALAN BUN FUI,Fo Mu Gong (Wen Hui Lu),E 108º,58' 44,"48""",RT 06/02 Kelurahan Sijangkung,
88,VIHARA CHIANG LIUNG MIAU,青龙庙(文輝路),N 00º,54' 51,"09""",Jl. Bunfui No.047,29
,JALAN BUN FUI,Qing Long Miao (Wen Hui Lu),E 108º,59' 07,"17""",RT 06/02 Kelurahan Sijangkung,
89,VIHARA SAM CHIN MIAU,三清廟(文輝路),N 00º,52' 11,"76""",Jl. Bunfui Gg. Sentosa,30
,JALAN BUN FUI,San Qing Miao (Wen Hui Lu),E 108º,58' 52,"37""",RT 06/02 Kelurahan Sijangkung,
90,CETIYA LAI KIM PAK KUNG,賴金伯公廟(文輝路),N 00º,52' 56,"50""",Jl. Bunfui,
,JALAN BUN FUI,Lai Jin Bo Gong Miao (Wen Hui Lu),E 108º,58' 53,"68""",RT 04/02 Kelurahan Sijangkung,
91,VIHARA FUK TET KIUNG / KAI SI PAK KUNG,福德宮(學老喃),N 00º,53' 14,"04""","Jl. Baru, Hoklonam",
,JALAN BARU (HOKLONAM),Fu De Gong (Xue Lao Nan),E 108º,59' 19,"07""",RT 03/01 Kelurahan Sijangkung,
92,VIHARA NG FU CIONG KIUN,五虎將軍壇(學老喃,N 00º,53' 17,"06""","Jl. Baru Gg. Singkong, Hoklonam",
,JALAN BARU (HOKLONAM),Wu Hu Jiang Jun Tan (Xue Lao Nan),E 108º,59'38,"57""",RT 03/01 Kelurahan Sijangkung,
93,VIHARA CHIANG LIUNG CIN,青龍精廟(學老喃,N 00º,53' 02,"36""","Jl. Baru, Hoklonam",
,JALAN BARU (HOKLONAM),Qing Long Jing Miao (Xue Lao Nan),E 108º,59' 48,"53""",RT 02/01 Kelurahan Sijangkung,
