NO.,NAMA VIHARA,MANDARIN,GPS,,,ALAMAT,ref_code
61, CETIYA FAB SHI THAN , 法师坛 , N  00°  , 53' 49 ," 29"" ", Jl. Kridasana Gg. Makasar ,
, JL. KRIDASANA ,   Fa Shi Tan , E 108°  , 59' 14 ," 09"" ", RT 20/09 Kelurahan Pasiran ,
62, VIHARA TRIDHARMA PAK KUNG PAK PHO , 大伯公庙(三叉路) , N  00°  , 53' 42 ," 83"" ", Jl. Pelita Gg. Lembah I No.32 ,
, JL. KRIDASANA ,   Da Bo Gong Miao (San Cha Lu) , E 108°  , 59' 00 ," 02"" ", RT 27/11 Kelurahan Pasiran ,
63, VIHARA DHARMA BUDDHA DHAMMA SAVANA , 晋恩佛堂(三叉路) , N  00°  , 53' 54 ," 71"" ", Jl. Yohana Godang No.57 ,
, JL. YOHANA GODANG ,   Jin En Fo Tang (San Cha Lu) , E 108°  , 59' 04 ," 18"" ", RT 48/17 Kelurahan Pasiran ,
64, CETIYA LUI THIAN CU SHI , 雷天祖师庙(三叉路) , N  00°  , 54' 10 ," 65"" ", Jl. Stasiun ,
, JL. STASIUN ,   Lei Thian Zu Shi Miao (San Cha Lu) , E 108°  , 59' 17 ," 46"" ", RT 04/02 Kelurahan Pasiran ,
65, VIHARA TRIDHARMA BUMI RAYA , 港尾大伯公庙(港尾) , N  00°  , 54' 19 ," 00"" ", Jl. Pasar Turi No.21 ,
, PASAR TURI ,   Gang Wei Da Bo Gong (Gang Wei) , E 108°  , 59' 34 ," 61"" ", RT 12/04 Kelurahan Pasiran ,
66, CETIYA THAI PAK KUNG KUNG , 大伯公公庙(港尾肚) , N  00°  , 54' 06 ," 05"" ", Jl. Pasar Turi Dalam ,
, PASAR TURI DALAM ,   Da Bo Gong Gong Miao (Gang Wei Du) , E 108°  , 59' 49 ," 11"" ", RT 18/07 Kelurahan Pasiran ,
67, CETIYA THAI PAK KUNG , 大伯公坛 , N  00°  , 54' 20 ," 01"" ", Jl. Sama-sama ,
, Jl. SAMA-SAMA ,   Da Bo Gong Tan , E 108°  , 59' 27 ," 09"" ", RT 09/05 Kelurahan Pasiran ,
68, CETIYA NYIAN SAI THONG , 元帅堂 , N  00°  , 54' 18 ," 00"" ", Jl. Sama-sama 2 No.76 ,
, Jl. SAMA-SAMA 2 ,   Yuan Shuai Tang , E 108°  , 59' 28 ," 21"" ", RT 09/04 Kelurahan Pasiran ,
69, VIHARA TRIDHARMA BUMI RAYA DEWI SAMUDERA , 天后宫/天后圣母 , N  00°  , 54' 24 ," 72"" ", Jl. Saman Bujang No.29 ,
, JL. SAMAN BUJANG ,   Tian Hou Gong / Tian Hou Sheng Mu , E 108°  , 59' 14 ," 51"" ", RT 11/03 Kelurahan Pasiran ,
70, VIHARA TRIDHARMA BUDI DHARMA , 观音官 , N  00°  , 54' 18 ," 25"" ", Jl. GM. Situt ,
, JL. GM. SITUT ,   Guan Yin Gong , E 108°  , 59' 23 ," 51"" ", RT 07/02 Kelurahan Pasiran ,
71, VIHARA HIAN THIAN SONG TI , 玄天上帝庙 , N  00°  , 54' 11 ," 51"" ", Jl. GM. Situt ,
, JL. GM. SITUT ,   Xian Tian Shang Di Miao , E 108°  , 59' 18 ," 44"" ", RT 04/02 Kelurahan Pasiran ,
72, VIHARA SHI THIAN FUT CU , 西天佛祖庙 , N  00°  , 53' 23 ," 69"" ", Jl. Gunung Sari Gg. Puncak sari ,
, GUNUNG SARI ,   Xi Tian Fo Zu Miao , E 108°  , 58' 37 ," 82"" ", RT 30/12 Kelurahan Pasiran ,
73, CETIYA SAK KU THAI BONG , 石古大王坛 , N  00°  , 53' 33 ," 94"" ", Jl. Gunung Bawang ,
, GUNUNG SARI ,   Shi Gu Da Wang Tan , E 108°  , 58' 46 ," 88"" ", RT 30/12 Kelurahan Pasiran ,
74, CETIYA THAI PAK KUNG KUNG , 大伯公坛 , N  00°  , 53' 12 ," 93"" ", Jl. Taman Gunung Sari ,
, GUNUNG SARI ,   Da Bo Gong Tan , E 108°  , 58' 52 ," 40"" ", RT 28/11 Kelurahan Pasiran ,
75, CETIYA KON JIM KIUNG , 观音官(石角) , N  00°  , 53' 30 ," 98"" ", Jl. A. Yani No.24 ,
, JL. A. YANI / SAKKOK ,   Guan Yin Gong (Shi Jiao) , E 108°  , 57' 55 ," 38"" ", RT 33/14 Kelurahan Pasiran ,
