name_indo,name_hanzi,name_pinyin,road,gps_lat,gps_lon,address,ref_no,id,num_images,region
CETIYA THAI PAK KUNG,大伯公壇(盧萬新路),Da Bo Gong Tan (Lu Wan Xin Lu),JALAN BARU-ROBAN,0.8922361111111111,109.01253055555556,"Jl. Baru, RT 44/09 Kelurahan Roban",,T1,,Tengah (Central)
VIHARA TRIDHARMA TERATAI,三教堂(盧萬新路),San Jiao Tang (Lu Wan Xin Lu),JALAN BARU-ROBAN,0.8886555555555555,109.00599444444444,"Jl. Gunung Roban / Jl. Baru, RT 57/12 Kelurahan Roban",,T2,,Tengah (Central)
VIHARA PET TI KIUNG / THAI PAK KUNG,北帝宮-大伯公(盧萬新路),Bei Di Gong / Da Bo Gong (Lu Wan Xin Lu),JALAN BARU-ROBAN,0.8905194444444444,109.00267222222222,"Jl. Gunung Roban / Jl. Baru, RT 57/12 Kelurahan Roban",,T3,,Tengah (Central)
VIHARA TRIDHARMA UTAMA / THAI PAK KUNG,大伯公廟(盧萬打麻房),Da Bo Gong Miao (Lu Wan Da Ma Fang),GUDANG TAMA-ROBAN,0.9003,109.012075,"Jl. Gudang Tama No.20, RT 29/08 Kelurahan Roban",,T4,,Tengah (Central)
CETIYA LO CU THIAN SHI,老祖天師壇(盧萬打麻房),Lao Zu Tian Shi Tan (Lu Wan Da Ma Fang),GUDANG TAMA-ROBAN,0.9006916666666667,109.01461111111111,"Jl. Gudang Tama Gg. Bufa, RT 18/03 Kelurahan Roban",,T5,,Tengah (Central)
CETIYA KON JIM KIUNG,觀音官(盧萬),Guan Yin Gong (Lu Wan),ROBAN,0.8904777777777777,109.0159,"Jl. Pahlawan, RT 44/09 Kelurahan Roban",16,T6,7,Tengah (Central)
CETIYA THAI PAK KUNG,大伯公廟(盧萬),Da Bo Gong Miao (Lu Wan),ROBAN,0.8945833333333333,109.0173361111111,"Jl. Pahlawan Gg. Bukit Burung, RT 44/09 Kelurahan Roban",,T7,,Tengah (Central)
CETIYA SI THAI KIM KONG,四大金剛(盧萬),Si Da Jin Gang (Lu Wan),ROBAN,0.8952083333333333,109.01263333333333,"Jl. Pahlawan, RT 26/09 Kelurahan Roban",,T8,,Tengah (Central)
VIHARA SAM CHIN FAB JAN,三清法院(盧萬),San Qing Fa Yuan (Lu Wan),ROBAN,0.8953333333333333,109.01016666666666,"Jl. Pahlawan Gg. Sinar Karya, RT 26/09 Kelurahan Roban",,T9,,Tengah (Central)
CETIYA SHI THIAN FUT CU,西天佛祖壇(盧萬),Xi Tian Fo Zu Tan (Lu Wan),ROBAN,0.8953749999999999,109.01167222222222,"Jl. Pahlawan Gg. Sinar Karya, RT 26/09 Kelurahan Roban",,T10,,Tengah (Central)
VIHARA PANNA / THIAN THAI FO THANG,天泰佛堂(盧萬),Tian Tai Fo Tang (Lu Wan),ROBAN,0.9046805555555556,109.00266388888889,"Jl. KS. Tubun No.28, RT 20/09 Kelurahan Roban",,T11,,Tengah (Central)
CETIYA LIE KHUI KIUNG,李逵宮(盧萬),Li Kui Gong (Lu Wan),ROBAN,0.8996361111111111,109.00238055555556,"Jl. KS. Tubun Gg.AA, RT 53/11 Kelurahan Roban",,T12,,Tengah (Central)
CETIYA KIM SAN PAK KUNG,僅山伯公(盧萬),Jin Shan Bo Gong (Lu Wan),ROBAN,0.89965,109.00106944444444,"Jl. KS. Tubun Gg. Pekong, RT 54/12 Kelurahan Roban",,T13,,Tengah (Central)
CETIYA NYIUK TI / KON JIN MIAU,玉帝/觀音廟(盧萬),Yu Di / Guan Yin Miao (Lu Wan),ROBAN,0.8997222222222222,109.00263055555556,"Jl. KS. Tubun, RT 53/11 Kelurahan Roban",,T14,,Tengah (Central)
VIHARA CIN LI FUT THONG,晉礼佛堂(盧萬),Jin Li Fo Tang (Lu Wan),ROBAN,0.8985388888888889,109.00303055555555,"Jl. KS. Tubun, RT 52/11 Kelurahan Roban",,T15,,Tengah (Central)
CETIYA KUNG KUNG,公公壇(盧萬),Gong Gong Tan (Lu Wan),ROBAN,0.8959138888888889,109.00349722222222,"Jl. KS. Tubun, RT 57/12 Kelurahan Roban",,T16,,Tengah (Central)
VIHARA LO MAO SUI KHEU PAK KUNG,羅卯水口伯公(盧萬),Luo Mao Shui Kou Bo Gong (Lu Wan),ROBAN,0.8943055555555556,109.0035,"Jl. KS. Tubun, RT 57/12 Kelurahan Roban",,T17,,Tengah (Central)
VIHARA BUDDHAYANA MAHA KARUNA (ATAS),玉皇殿/觀音堂/北帝堂(盧萬),Yu Huang Dian / Guan Yin Tang / Bei Di Tang,ROBAN (上齋堂-Shang Zhai Tang),0.8939666666666667,109.00357777777778,"Jl. KS. Tubun, RT 57/12 Kelurahan Roban",50,T18,14,Tengah (Central)
