UID,altar_Name,address,village,gps_lat,gps_lon,region,num_photos,photo_ref,pantak
WP197, KIU LIAN PHU SAT ," Jl. Pasar Turi Gg. Happy, Kel. Pasiran  No. 29, RT 11",Parisan,0.9062250000000001,108.99373888888888,West,,121, N 
WP198, SAK SAN SHI KUNG ," Jl. Pasar Turi Gg. Happy, Kel. Pasiran  No. 2, RT 11",Parisan,0.9074166666666666,108.99308333333333,West,,122, N 
WP199, CHIANG MIN CIONG KIUN ," Jl. Pasar Turi Dalam / Blkg Sahabat Baru , RT 12",Parisan,0.9045833333333334,108.99563888888889,West,,127, N 
WP200, FA KONG THAI TI ," Jl. Pasar Baru , Kel. Pasiran  No. 17, RT 12",Parisan,0.9036388888888889,108.99371944444445,West,,125, N 
WP201, MAO SAN CU SHI ," Jl. Pasar Baru Kompleks Pasar Baru  No. 10A, RT 12",Parisan,0.9025861111111111,108.99434722222222,West,,124, N 
WP202, KON JIM NYIONG NYIONG ," Jl. Sama-sama, Kel. Pasiran  No. 18, RT 12",Parisan,0.9041361111111111,108.98986111111111,West,,131, N 
WM1, BUN BU CIONG KIUN ," Jl. Hermansyah, Kel. Melayu  No. 22, RT 25",Melayu,0.9102333333333333,108.98643055555556,West,,169, N 
WM2, LIE FAB NYIAN SAI ," Jl. Hermansyah Gg. Dwi Tunggal, Melayu  No. 43, RT 32",Melayu,0.9087027777777777,108.98451944444444,West,,161, N 
WM3, SUN FUK LUI THAN ," Jl. Hermansyah Gg. Dwi Tunggal Blok A  No. 29A, RT 35",Melayu,0.9096333333333334,108.98166666666667,West,,292, N 
WM4, NAM SAN LO MU ," Jl. Hermansyah Gg. Dwi Tunggal Blok A  No. 29.O, RT 35",Melayu,0.9096444444444445,108.9816111111111,West,,293, N 
WM5, THIET SAN SAM BONG ," Jl. Hermansyah Gg. Dwi Tunggal Blok A  No. 31B, RT 35",Melayu,0.9103916666666667,108.98089166666666,West,,179, N 
WM6, MUNG KU PAK KUNG ," Jl. Hermansyah Gg. Dwi Tunggal Blok A  No. 31C, RT 35",Melayu,0.9101333333333333,108.98081944444445,West,,178, N 
