name_indo,name_hanzi,name_pinyin,neighbourhood,gps_lat,gps_lon,address,ref_no
CETIYA FUT SHIN KIUNG,佛神宮(运动场),Fo Shen Gong (Yun Dong Chang),JL. KRIDASANA,0.8936722222222222,108.98672777777777,"Jl. Kridasana Gg. Karya I, RT 52/11 Kelurahan Pasiran",
CETIYA FA SAN LI FAB THAN,华山李法坛(运动场),Hua Shan Li Fa Tan (Yun Dong Chang),JL. KRIDASANA,0.8930222222222222,108.98575555555556,"Jl. Kridasana Gg. Karya I, RT 52/11 Kelurahan Pasiran",
VIHARA THAI PAK KUNG / BUN BU NYIAN SAI,大伯公庙/文武元帅庙,Da Bo Gong Miao / Wen Wu Yuan Shuai,JL. KRIDASANA,0.8970472222222222,108.98787222222222,"Jl. Kridasana Gg. Setuju, RT 22/09 Kelurahan Pasiran",
CETIYA FAB SHI THAN,法师坛,Fa Shi Tan,JL. KRIDASANA,0.897025,108.98724722222222,"Jl. Kridasana Gg. Makasar, RT 20/09 Kelurahan Pasiran",
VIHARA TRIDHARMA PAK KUNG PAK PHO,大伯公庙(三叉路),Da Bo Gong Miao (San Cha Lu),JL. KRIDASANA,0.8952305555555555,108.9833388888889,"Jl. Pelita Gg. Lembah I No.32, RT 27/11 Kelurahan Pasiran",
VIHARA DHARMA BUDDHA DHAMMA SAVANA,晋恩佛堂(三叉路),Jin En Fo Tang (San Cha Lu),JL. YOHANA GODANG,0.8985305555555555,108.98449444444445,"Jl. Yohana Godang No.57, RT 48/17 Kelurahan Pasiran",
CETIYA LUI THIAN CU SHI,雷天祖师庙(三叉路),Lei Thian Zu Shi Miao (San Cha Lu),JL. STASIUN,0.9029583333333333,108.98818333333334,"Jl. Stasiun, RT 04/02 Kelurahan Pasiran",
VIHARA TRIDHARMA BUMI RAYA,港尾大伯公庙(港尾),Gang Wei Da Bo Gong (Gang Wei),PASAR TURI,0.9052777777777778,108.99294722222223,"Jl. Pasar Turi No.21, RT 12/04 Kelurahan Pasiran",
CETIYA THAI PAK KUNG KUNG,大伯公公庙(港尾肚),Da Bo Gong Gong Miao (Gang Wei Du),PASAR TURI DALAM,0.9016805555555556,108.996975,"Jl. Pasar Turi Dalam, RT 18/07 Kelurahan Pasiran",
CETIYA THAI PAK KUNG,大伯公坛,Da Bo Gong Tan,Jl. SAMA-SAMA,0.9055583333333334,108.99085833333334,"Jl. Sama-sama, RT 09/05 Kelurahan Pasiran",
CETIYA NYIAN SAI THONG,元帅堂,Yuan Shuai Tang,Jl. SAMA-SAMA 2,0.905,108.99116944444445,"Jl. Sama-sama 2 No.76, RT 09/04 Kelurahan Pasiran",
VIHARA TRIDHARMA BUMI RAYA DEWI SAMUDERA,天后宫/天后圣母,Tian Hou Gong / Tian Hou Sheng Mu,JL. SAMAN BUJANG,0.9068666666666667,108.9873638888889,"Jl. Saman Bujang No.29, RT 11/03 Kelurahan Pasiran",
VIHARA TRIDHARMA BUDI DHARMA,观音官,Guan Yin Gong,JL. GM. SITUT,0.9050694444444445,108.98986388888889,"Jl. GM. Situt, RT 07/02 Kelurahan Pasiran",
VIHARA HIAN THIAN SONG TI,玄天上帝庙,Xian Tian Shang Di Miao,JL. GM. SITUT,0.9031972222222222,108.98845555555556,"Jl. GM. Situt, RT 04/02 Kelurahan Pasiran",
VIHARA SHI THIAN FUT CU,西天佛祖庙,Xi Tian Fo Zu Miao,GUNUNG SARI,0.8899138888888889,108.97717222222222,"Jl. Gunung Sari Gg. Puncak sari, RT 30/12 Kelurahan Pasiran",
CETIYA SAK KU THAI BONG,石古大王坛,Shi Gu Da Wang Tan,GUNUNG SARI,0.8927611111111111,108.97968888888889,"Jl. Gunung Bawang, RT 30/12 Kelurahan Pasiran",
CETIYA THAI PAK KUNG KUNG,大伯公坛,Da Bo Gong Tan,GUNUNG SARI,0.886925,108.98122222222223,"Jl. Taman Gunung Sari, RT 28/11 Kelurahan Pasiran",
CETIYA KON JIM KIUNG,观音官(石角),Guan Yin Gong (Shi Jiao),JL. A. YANI / SAKKOK,0.8919388888888888,108.96538333333334,"Jl. A. Yani No.24, RT 33/14 Kelurahan Pasiran",
